#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-30 18:49:20
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-30 23:50:16 63.195.88.133 GET /turkey/images/home.gif 200 613 684 110 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:16 63.195.88.133 GET /turkey/images/previous.gif 200 609 688 172 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:16 63.195.88.133 GET /turkey/images/next.gif 200 599 684 78 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:19 63.195.88.133 GET /turkey/images/05_streetscape+with+fish+guys.jpg 200 56880 715 2016 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:27 63.195.88.133 GET /turkey/pages/06_apartments+near+Kayseri.htm 200 1754 673 187 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:28 63.195.88.133 GET /turkey/images/06_apartments+near+Kayseri.jpg 200 44954 705 1391 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:41 63.195.88.133 GET /turkey/pages/25_Chilgen+Sekees.htm 200 1695 662 156 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:44 63.195.88.133 GET /turkey/images/25_Chilgen+Sekees.jpg 200 64292 683 2328 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:59 63.195.88.133 GET /turkey/pages/35_loading+potatoes+2.htm 200 1444 668 157 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:01 63.195.88.133 GET /turkey/images/35_loading+potatoes+2.jpg 200 45324 695 1515 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:04 63.195.88.133 GET /turkey/pages/36_bride.htm 200 1511 651 187 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:05 63.195.88.133 GET /turkey/images/36_bride.jpg 200 39682 661 1234 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:10 63.195.88.133 GET /turkey/pages/37_Fatih's+summerhouse.htm 200 1571 669 219 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:12 63.195.88.133 GET /turkey/images/37_Fatih's+summerhouse.jpg 200 47840 697 1609 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:18 63.195.88.133 GET /turkey/pages/38_Hagia+Sophia.htm 200 1658 660 250 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:51:20 63.195.88.133 GET /turkey/images/38_Hagia+Sophia.jpg 200 51541 679 1625 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:59:11 63.195.88.133 GET /ethiopia.htm 200 8050 632 422 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:59:11 63.195.88.133 GET /images/ethiopia1.jpg 200 17914 642 546 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
